"","Country","Year","GDP.per.capita","CHE.as.percentage.of.GDP","Life.expectancy","Life.satisfaction"
"1","Bahrain",2011,53132.33,3.86518,79.1409,5.568
"2","Bahrain",2012,54516.84,4.10642,79.6218,5.312
"3","Bahrain",2013,55376.402,4.30854,79.9981,NA
"4","Bahrain",2014,55065.82,4.4124,80.2139,5.96
"5","Bahrain",2015,54149.914,4.97672,80.3378,6.218
"6","Bahrain",2016,54107.074,4.86051,80.407,6.087
"7","Bahrain",2017,53859.773,4.51236,80.4067,6.105
"8","Bahrain",2018,54893.074,4.12746,80.4118,6.199
"9","Bahrain",2019,56749.96,3.9598,80.4706,6.2273
"10","Bahrain",2020,53814.246,4.71962,78.6833,6.647
"11","Bahrain",2021,54954.676,4.49224,78.0826,6.647
"12","Bahrain",2022,57572.996,3.83745,80.9921,6.173
"13","Bahrain",2023,57819.906,NA,81.2835,5.959
"14","Finland",2011,55053.39,9.22303,80.3916,7.579
"15","Finland",2012,53957.668,9.5858,80.5076,7.389
"16","Finland",2013,53183.43,9.80535,80.869,NA
"17","Finland",2014,52710.734,9.78115,81.0546,7.406
"18","Finland",2015,52782.49,9.64524,81.3775,7.413
"19","Finland",2016,53984.633,9.37796,81.3029,7.469
"20","Finland",2017,55637.227,9.1267,81.4967,7.632
"21","Finland",2018,56226.336,9.04514,81.6265,7.769
"22","Finland",2019,56922.49,9.17143,81.8643,7.8087
"23","Finland",2020,55424.86,9.6325,81.8219,7.842
"24","Finland",2021,56790.375,9.83458,81.8137,7.821
"25","Finland",2022,57068.305,9.65892,81.2435,7.804
"26","Finland",2023,56250.88,NA,81.9102,7.741
"27","Bahrain",2024,58891.832,NA,NA,6.03
"28","Finland",2024,56123.15,NA,NA,7.736
